Episode,TotalReward,Steps,drop_passsenger_pick_ghost,delivered_passenger
860,-1093.0,502,68,1
861,-1947.0,789,131,1
862,-1244.0,446,91,1
863,-919.0,391,61,1
864,-2395.0,1000,155,0
865,-1132.0,469,76,1
866,-1600.0,685,104,1
867,-2160.0,894,143,1
868,-1104.0,459,74,1
869,-2503.0,1000,167,0
870,-1196.0,443,86,1
871,-1124.0,497,72,1
872,-2665.0,1000,185,0
873,-942.0,396,63,1
874,-2467.0,1000,163,0
875,-905.0,368,62,1
876,-994.0,412,67,1
877,-2299.0,970,150,1
878,-1092.0,420,77,1
879,-1497.0,600,102,1
880,-2377.0,1000,153,0
881,-1258.0,487,88,1
882,-1629.0,651,111,1
883,-2494.0,1000,166,0
884,-1762.0,766,113,1
885,-2431.0,1000,159,0
886,-2368.0,1000,152,0
887,-1458.0,561,102,1
888,-2431.0,1000,159,0
889,-1360.0,598,87,1
890,-2251.0,886,154,1
891,-2251.0,859,157,1
892,-709.0,262,52,1
893,-2422.0,1000,158,0
894,-1513.0,634,100,1
895,-1664.0,659,114,1
896,-2404.0,1000,156,0
897,-2530.0,1000,170,0
898,-1454.0,575,100,1
899,-1929.0,798,128,1
900,-893.0,365,61,1
901,-1782.0,660,127,1
902,-2110.0,862,141,1
903,-1362.0,564,91,1
904,-1377.0,561,93,1
905,-1172.0,482,79,1
906,-1433.0,608,94,1
907,-1532.0,635,102,1
908,-1077.0,423,75,1
909,-2395.0,1000,155,0
910,-1296.0,552,85,1
911,-1487.0,563,105,1
912,-1680.0,648,117,1
913,-1469.0,554,104,1
914,-970.0,415,64,1
915,-1476.0,588,101,1
916,-1224.0,561,76,1
917,-1269.0,597,77,1
918,-1619.0,650,110,1
919,-1863.0,759,125,1
920,-2440.0,1000,160,0
921,-2233.0,1000,137,0
922,-775.0,292,56,1
923,-872.0,362,59,1
924,-1300.0,475,94,1
925,-936.0,363,66,1
926,-1094.0,512,67,1
927,-2476.0,1000,164,0
928,-1646.0,659,112,1
929,-2287.0,1000,143,0
930,-2399.0,989,159,1
931,-1546.0,649,102,1
932,-1580.0,701,100,1
933,-2137.0,853,145,1
934,-1267.0,487,89,1
935,-2404.0,1000,156,0
936,-1246.0,511,84,1
937,-1318.0,529,90,1
938,-2369.0,896,166,1
939,-1096.0,469,72,1
940,-882.0,363,60,1
941,-762.0,288,55,1
942,-1431.0,651,89,1
943,-1346.0,530,93,1
944,-2368.0,1000,152,0
945,-1606.0,691,104,1
946,-1142.0,470,77,1
947,-1051.0,460,68,1
948,-2450.0,977,166,1
949,-1080.0,426,75,1
950,-1407.0,591,93,1
951,-505.0,202,36,1
952,-2013.0,756,142,1
953,-1275.0,576,80,1
954,-899.0,335,65,1
955,-792.0,309,56,1
956,-1303.0,460,96,1
957,-2044.0,859,134,1
958,-973.0,427,63,1
959,-2219.0,899,149,1
960,-2258.0,938,149,1
961,-1322.0,542,89,1
962,-1546.0,595,108,1
963,-2111.0,881,139,1
964,-1116.0,444,77,1
965,-2431.0,1000,159,0
966,-2206.0,958,141,1
967,-1506.0,627,100,1
968,-373.0,151,27,1
969,-1508.0,584,105,1
970,-1312.0,541,88,1
971,-1451.0,599,97,1
972,-2281.0,979,147,1
973,-1421.0,569,97,1
