Episode,TotalReward,Steps,drop_passsenger_pick_ghost,delivered_passenger,Rollbacks
813,-462.0,572,0,1,89
814,-265.0,347,0,1,61
815,-632.0,760,0,1,107
816,-795.0,975,0,1,159
817,-805.0,988,0,1,162
818,-330.0,435,0,1,84
819,-330.0,429,0,1,78
820,-181.0,241,0,1,39
821,-428.0,534,0,1,85
822,-856.0,1000,0,0,144
823,-426.0,537,0,1,90
824,-254.0,334,0,1,59
825,-197.0,269,0,1,51
826,-337.0,439,0,1,81
827,-309.0,404,0,1,74
828,-453.0,567,0,1,93
829,-336.0,430,0,1,73
830,-283.0,366,0,1,62
831,-837.0,1000,0,0,163
832,-807.0,984,0,1,156
833,-814.0,984,0,1,149
834,-440.0,552,0,1,91
835,-847.0,1000,0,0,153
836,-335.0,446,0,1,90
837,-306.0,395,0,1,68
838,-840.0,1000,0,0,160
839,-840.0,1000,0,0,160
840,-330.0,418,0,1,67
841,-583.0,714,0,1,110
842,-855.0,1000,0,0,145
843,-452.0,557,0,1,84
844,-736.0,926,0,1,169
845,-657.0,818,0,1,140
846,-858.0,1000,0,0,142
847,-843.0,1000,0,0,157
848,-388.0,495,0,1,86
849,-283.0,366,0,1,62
850,-848.0,1000,0,0,152
851,-237.0,308,0,1,50
852,-460.0,587,0,1,106
853,-371.0,476,0,1,84
854,-650.0,793,0,1,122
855,-396.0,505,0,1,88
856,-232.0,311,0,1,58
857,-511.0,640,0,1,108
858,-383.0,508,0,1,104
859,-521.0,647,0,1,105
860,-337.0,420,0,1,62
861,-841.0,1000,0,0,159
862,-393.0,495,0,1,81
863,-298.0,391,0,1,72
864,-856.0,1000,0,0,144
865,-465.0,585,0,1,99
866,-840.0,1000,0,0,160
867,-511.0,642,0,1,110
868,-449.0,557,0,1,87
869,-599.0,726,0,1,106
870,-446.0,558,0,1,91
871,-283.0,371,0,1,67
872,-837.0,1000,0,0,163
873,-405.0,501,0,1,75
874,-822.0,1000,0,0,178
875,-264.0,351,0,1,66
876,-384.0,492,0,1,87
877,-854.0,1000,0,0,146
878,-421.0,528,0,1,86
879,-625.0,774,0,1,128
880,-456.0,579,0,1,102
881,-495.0,607,0,1,91
882,-840.0,1000,0,0,160
883,-840.0,1000,0,0,160
884,-445.0,567,0,1,101
885,-848.0,1000,1,0,161
886,-818.0,995,0,1,156
887,-865.0,1000,0,0,135
888,-430.0,552,0,1,101
889,-89.0,130,0,1,20
890,-760.0,919,0,1,138
891,-861.0,1000,0,0,139
892,-121.0,172,0,1,30
893,-316.0,403,0,1,66
894,-785.0,966,0,1,160
895,-850.0,1000,0,0,150
896,-857.0,1000,0,0,143
897,-368.0,466,0,1,77
898,-413.0,521,0,1,87
899,-827.0,988,2,1,158
900,-290.0,374,0,1,63
901,-844.0,1000,0,0,156
