Episode,TotalReward,Steps,drop_passsenger_pick_ghost,delivered_passenger,Rollbacks
710,-2395.0,1000,155,0,0
711,-1158.0,459,80,1,0
712,-1609.0,658,108,1,0
713,-2359.0,1000,151,0,0
714,-579.0,240,40,1,0
715,-1339.0,514,94,1,0
716,-1408.0,592,93,1,0
717,-2296.0,1000,144,0,0
718,-2375.0,956,160,1,0
719,-2359.0,1000,151,0,0
720,-1079.0,416,76,1,0
721,-2368.0,1000,152,0,0
722,-2323.0,1000,147,0,0
723,-1479.0,573,103,1,0
724,-2395.0,1000,155,0,0
725,-2314.0,1000,146,0,0
726,-2179.0,850,150,1,0
727,-1647.0,687,109,1,0
728,-1455.0,603,97,1,0
729,-938.0,365,66,1,0
730,-1447.0,577,99,1,0
731,-1097.0,488,70,1,0
732,-1364.0,539,94,1,0
733,-2342.0,941,158,1,0
734,-1191.0,528,76,1,0
735,-2305.0,1000,145,0,0
736,-1086.0,423,76,1,0
737,-1447.0,577,99,1,0
738,-1025.0,389,73,1,0
739,-2377.0,1000,153,0,0
740,-1060.0,415,74,1,0
741,-2350.0,1000,150,0,0
742,-982.0,382,69,1,0
743,-585.0,237,41,1,0
744,-1291.0,520,88,1,0
745,-2296.0,1000,144,0,0
746,-1255.0,493,87,1,0
747,-1196.0,434,87,1,0
748,-970.0,379,68,1,0
749,-2269.0,1000,141,0,0
750,-2422.0,1000,158,0,0
751,-1630.0,670,109,1,0
752,-1038.0,375,76,1,0
753,-1375.0,514,98,1,0
754,-2368.0,1000,152,0,0
755,-1363.0,529,95,1,0
756,-1229.0,503,83,1,0
757,-810.0,318,57,1,0
758,-1321.0,469,97,1,0
759,-1322.0,506,93,1,0
760,-2440.0,1000,160,0,0
761,-999.0,444,64,1,0
762,-1197.0,444,86,1,0
763,-1297.0,535,87,1,0
764,-1361.0,509,97,1,0
765,-2359.0,1000,151,0,0
766,-2269.0,1000,141,0,0
767,-1388.0,536,97,1,0
768,-2006.0,794,137,1,0
769,-2449.0,1000,161,0,0
770,-2174.0,926,141,1,0
771,-1179.0,498,78,1,0
772,-896.0,359,62,1,0
773,-1117.0,472,74,1,0
774,-1349.0,551,91,1,0
775,-1415.0,554,98,1,0
776,-1041.0,423,71,1,0
777,-2431.0,1000,159,0,0
778,-1546.0,649,102,1,0
779,-2296.0,1000,144,0,0
780,-2386.0,1000,154,0,0
781,-2449.0,1000,161,0,0
782,-1195.0,460,84,1,0
783,-1195.0,442,86,1,0
784,-2206.0,1000,134,0,0
785,-1109.0,491,71,1,0
786,-2136.0,870,143,1,0
787,-2332.0,1000,148,0,0
788,-2339.0,929,159,1,0
789,-2332.0,1000,148,0,0
790,-1102.0,493,70,1,0
791,-2251.0,1000,139,0,0
792,-2398.0,961,162,1,0
793,-825.0,333,57,1,0
794,-1099.0,490,70,1,0
795,-1195.0,451,85,1,0
796,-1576.0,715,98,1,0
797,-369.0,147,27,1,0
798,-1353.0,573,89,1,0
799,-1492.0,622,99,1,0
800,-1403.0,569,95,1,0
801,-1417.0,538,100,1,0
802,-1526.0,665,98,1,0
803,-2353.0,925,161,1,0
804,-1353.0,528,94,1,0
805,-2449.0,1000,161,0,0
806,-913.0,367,63,1,0
807,-928.0,337,68,1,0
808,-1061.0,389,77,1,0
809,-1037.0,482,64,1,0
810,-1060.0,388,77,1,0
811,-2240.0,911,150,1,0
812,-983.0,401,67,1,0
813,-1502.0,596,103,1,0
814,-1496.0,653,96,1,0
815,-1643.0,638,114,1,0
816,-1362.0,555,92,1,0
817,-2391.0,981,159,1,0
818,-1143.0,426,82,1,0
819,-1253.0,536,82,1,0
820,-1327.0,547,89,1,0
821,-997.0,424,66,1,0
822,-2377.0,1000,153,0,0
823,-1385.0,542,96,1,0
824,-879.0,315,65,1,0
825,-738.0,282,53,1,0
826,-1941.0,783,131,1,0
827,-1094.0,413,78,1,0
828,-495.0,210,34,1,0
829,-1027.0,427,69,1,0
830,-1182.0,492,79,1,0
831,-1429.0,559,99,1,0
832,-1731.0,717,115,1,0
833,-1206.0,543,76,1,0
834,-2298.0,906,157,1,0
835,-2449.0,1000,161,0,0
836,-1267.0,496,88,1,0
837,-789.0,315,55,1,0
838,-999.0,408,68,1,0
839,-2386.0,1000,154,0,0
840,-1477.0,598,100,1,0
841,-1259.0,479,89,1,0
842,-2323.0,1000,147,0,0
843,-1235.0,464,88,1,0
844,-2395.0,1000,155,0,0
845,-1617.0,648,110,1,0
846,-2314.0,1000,146,0,0
847,-1266.0,504,87,1,0
848,-1308.0,537,88,1,0
849,-962.0,362,69,1,0
850,-2440.0,1000,160,0,0
851,-947.0,347,69,1,0
852,-1472.0,593,100,1,0
853,-1806.0,693,126,1,0
854,-2359.0,1000,151,0,0
855,-2467.0,1000,163,0,0
856,-949.0,394,64,1,0
