Episode,TotalReward,Steps,drop_passsenger_pick_ghost,delivered_passenger
555,-2234.0,950,145,1,True
556,-2641.0,1186,164,1,True
557,-886.0,340,63,1,True
558,-2375.0,1001,155,1,True
559,-1258.0,622,73,1,True
560,-1588.0,700,101,1,True
561,-762.0,297,54,1,True
562,-641.0,230,48,1,True
563,-1090.0,409,78,1,True
564,-2172.0,870,147,1,True
565,-1362.0,573,90,1,True
566,-2398.0,1015,156,1,True
567,-2964.0,1374,179,1,True
568,-2412.0,975,162,1,True
569,-2601.0,1101,169,1,True
570,-2334.0,996,151,1,True
571,-1245.0,528,82,1,True
572,-851.0,323,61,1,True
573,-2584.0,1102,167,1,True
574,-1719.0,669,119,1,True
575,-1170.0,489,78,1,True
576,-1508.0,584,105,1,True
577,-2451.0,1023,161,1,True
578,-917.0,371,63,1,True
579,-1724.0,746,111,1,True
580,-1844.0,803,118,1,True
581,-3489.0,1500,221,0,False
582,-1847.0,788,120,1,True
583,-1763.0,803,109,1,True
584,-2259.0,939,149,1,True
585,-2182.0,871,148,1,True
586,-959.0,440,60,1,True
587,-3443.0,1439,225,1,True
588,-1589.0,629,109,1,True
589,-1271.0,482,90,1,True
590,-937.0,364,66,1,True
591,-865.0,346,60,1,True
592,-2453.0,1061,157,1,True
593,-2539.0,1075,165,1,True
594,-2508.0,1053,164,1,True
595,-1233.0,480,86,1,True
596,-1699.0,694,114,1,True
597,-1483.0,640,96,1,True
598,-883.0,355,61,1,True
599,-2462.0,1016,163,1,True
600,-2435.0,1061,155,1,True
601,-2348.0,974,155,1,True
602,-1559.0,626,106,1,True
603,-1847.0,761,123,1,True
604,-2123.0,875,141,1,True
605,-3498.0,1500,222,0,False
606,-1927.0,805,127,1,True
607,-459.0,192,32,1,True
608,-1190.0,518,77,1,True
609,-1197.0,498,80,1,True
610,-1229.0,458,88,1,True
611,-890.0,335,64,1,True
612,-2593.0,1111,167,1,True
613,-2755.0,1246,170,1,True
614,-1561.0,709,97,1,True
615,-1399.0,574,94,1,True
616,-1651.0,628,116,1,True
617,-2544.0,1062,167,1,True
618,-1378.0,544,95,1,True
619,-1024.0,397,72,1,True
620,-1029.0,402,72,1,True
621,-3412.0,1471,218,1,True
622,-2095.0,847,141,1,True
623,-233.0,119,15,1,True
624,-2667.0,1185,167,1,True
625,-1527.0,657,99,1,True
626,-1131.0,504,72,1,True
627,-2682.0,1173,170,1,True
628,-1294.0,595,80,1,True
629,-2686.0,1168,171,1,True
630,-957.0,375,67,1,True
631,-1854.0,723,128,1,True
632,-2420.0,992,161,1,True
633,-1157.0,431,83,1,True
634,-1290.0,510,89,1,True
635,-769.0,304,54,1,True
636,-2532.0,1086,163,1,True
637,-1452.0,573,100,1,True
638,-1385.0,524,98,1,True
639,-2626.0,1189,162,1,True
640,-1539.0,633,103,1,True
641,-2663.0,1136,172,1,True
642,-789.0,297,57,1,True
643,-3330.0,1443,212,1,True
644,-2351.0,968,156,1,True
645,-2124.0,849,144,1,True
646,-1748.0,797,108,1,True
647,-2324.0,977,152,1,True
648,-1500.0,630,99,1,True
649,-1390.0,556,95,1,True
650,-1480.0,610,99,1,True
651,-1309.0,493,93,1,True
652,-1450.0,562,101,1,True
653,-1630.0,670,109,1,True
654,-3189.0,1311,211,1,True
655,-1374.0,513,98,1,True
656,-2430.0,1065,154,1,True
657,-1161.0,417,85,1,True
658,-780.0,324,53,1,True
659,-1587.0,654,106,1,True
660,-2618.0,1109,170,1,True
661,-768.0,303,54,1,True
662,-2698.0,1171,172,1,True
663,-3480.0,1431,230,1,True
664,-1226.0,581,74,1,True
665,-1248.0,495,86,1,True
666,-1113.0,495,71,1,True
667,-2318.0,980,151,1,True
668,-809.0,326,56,1,True
669,-1070.0,380,79,1,True
670,-2408.0,1007,158,1,True
671,-2655.0,1182,166,1,True
672,-2670.0,1125,174,1,True
673,-1306.0,553,86,1,True
674,-2708.0,1208,169,1,True
675,-1511.0,596,104,1,True
676,-1324.0,571,86,1,True
677,-1277.0,533,85,1,True
678,-1450.0,562,101,1,True
679,-1469.0,572,102,1,True
680,-1515.0,627,101,1,True
681,-1331.0,515,93,1,True
682,-2099.0,851,141,1,True
683,-777.0,321,53,1,True
684,-1334.0,608,83,1,True
685,-1406.0,572,95,1,True
686,-2621.0,1040,178,1,True
687,-805.0,331,55,1,True
688,-2458.0,1075,156,1,True
689,-1326.0,537,90,1,True
690,-573.0,225,41,1,True
691,-1146.0,483,76,1,True
692,-2497.0,1078,160,1,True
693,-1255.0,547,81,1,True
694,-1737.0,723,115,1,True
695,-1882.0,769,126,1,True
696,-1666.0,715,108,1,True
697,-1183.0,475,81,1,True
698,-2545.0,1117,161,1,True
699,-1568.0,644,105,1,True
700,-875.0,338,62,1,True
701,-1326.0,510,93,1,True
702,-1318.0,502,93,1,True
703,-1223.0,452,88,1,True
704,-1268.0,542,83,1,True
705,-1287.0,525,87,1,True
706,-743.0,269,55,1,True
707,-1671.0,738,106,1,True
708,-2407.0,1015,157,1,True
709,-2187.0,930,142,1,True
710,-2432.0,986,163,1,True
711,-1100.0,482,71,1,True
712,-2181.0,969,137,1,True
713,-1791.0,804,112,1,True
714,-1214.0,479,84,1,True
715,-979.0,379,69,1,True
716,-1509.0,603,103,1,True
717,-2427.0,1035,157,1,True
718,-2330.0,911,160,1,True
719,-3283.0,1405,211,1,True
720,-942.0,378,65,1,True
721,-2959.0,1180,200,1,True
722,-2552.0,1115,162,1,True
723,-1605.0,699,103,1,True
724,-2407.0,1015,157,1,True
725,-1522.0,652,99,1,True
726,-1300.0,511,90,1,True
727,-1742.0,755,112,1,True
728,-1302.0,549,86,1,True
729,-1113.0,477,73,1,True
730,-1180.0,472,81,1,True
731,-359.0,155,25,1,True
732,-2322.0,957,154,1,True
733,-1880.0,740,129,1,True
734,-1180.0,499,78,1,True
735,-2250.0,930,149,1,True
736,-1475.0,578,102,1,True
737,-1300.0,493,92,1,True
738,-1213.0,523,79,1,True
739,-2515.0,1096,160,1,True
740,-1127.0,455,77,1,True
741,-3446.0,1487,220,1,True
742,-1158.0,450,81,1,True
743,-1225.0,499,83,1,True
744,-841.0,295,63,1,True
745,-1898.0,749,130,1,True
746,-1282.0,502,89,1,True
747,-742.0,286,53,1,True
748,-2469.0,1050,160,1,True
749,-1150.0,469,78,1,True
750,-1242.0,498,85,1,True
751,-2285.0,965,149,1,True
752,-1969.0,793,133,1,True
753,-936.0,372,65,1,True
754,-1679.0,710,110,1,True
755,-1326.0,618,81,1,True
756,-1064.0,392,77,1,True
757,-840.0,294,63,1,True
758,-1121.0,440,78,1,True
759,-3362.0,1412,219,1,True
760,-3229.0,1333,213,1,True
761,-790.0,307,56,1,True
762,-902.0,356,63,1,True
763,-407.0,158,30,1,True
764,-1523.0,644,100,1,True
765,-1363.0,511,97,1,True
766,-2266.0,910,153,1,True
767,-905.0,377,61,1,True
768,-2255.0,989,143,1,True
769,-2307.0,906,158,1,True
770,-2599.0,1180,160,1,True
771,-1347.0,549,91,1,True
772,-978.0,396,67,1,True
773,-995.0,440,64,1,True
774,-1009.0,382,72,1,True
775,-667.0,283,45,1,True
776,-1040.0,431,70,1,True
777,-2527.0,1099,161,1,True
778,-2385.0,966,160,1,True
779,-857.0,320,62,1,True
780,-1686.0,762,105,1,True
781,-2614.0,1204,159,1,True
782,-1541.0,662,100,1,True
783,-2737.0,1237,169,1,True
784,-3417.0,1500,213,0,False
785,-960.0,396,65,1,True
786,-2608.0,1108,169,1,True
787,-1484.0,623,98,1,True
788,-1823.0,656,132,1,True
789,-3114.0,1245,210,1,True
790,-1552.0,646,103,1,True
791,-2507.0,1034,166,1,True
792,-1879.0,721,131,1,True
793,-1504.0,625,100,1,True
794,-1259.0,533,83,1,True
795,-1205.0,479,83,1,True
796,-1439.0,650,90,1,True
797,-1093.0,457,73,1,True
798,-1192.0,457,84,1,True
799,-1348.0,550,91,1,True
800,-1429.0,541,101,1,True
801,-1407.0,528,100,1,True
802,-1873.0,778,124,1,True
803,-1717.0,757,109,1,True
804,-3435.0,1500,215,0,False
805,-3298.0,1330,221,1,True
806,-836.0,308,61,1,True
807,-938.0,347,68,1,True
808,-916.0,334,67,1,True
809,-972.0,417,64,1,True
810,-1100.0,410,79,1,True
811,-3149.0,1325,205,1,True
812,-2283.0,936,152,1,True
813,-1282.0,493,90,1,True
814,-1241.0,506,84,1,True
815,-2503.0,1057,163,1,True
816,-2247.0,882,154,1,True
817,-3561.0,1500,229,0,False
818,-1385.0,632,86,1,True
819,-1346.0,539,92,1,True
820,-1388.0,536,97,1,True
821,-1011.0,411,69,1,True
822,-1883.0,788,124,1,True
823,-1351.0,553,91,1,True
824,-1184.0,476,81,1,True
825,-1168.0,487,78,1,True
826,-1050.0,369,78,1,True
827,-891.0,345,63,1,True
828,-1350.0,543,92,1,True
829,-921.0,402,60,1,True
830,-1352.0,572,89,1,True
831,-428.0,206,27,1,True
832,-3525.0,1500,225,0,False
833,-2282.0,926,153,1,True
834,-2239.0,901,151,1,True
835,-1404.0,552,97,1,True
836,-1201.0,448,86,1,True
837,-785.0,293,57,1,True
838,-1056.0,420,73,1,True
839,-2089.0,850,140,1,True
840,-985.0,412,66,1,True
841,-844.0,352,57,1,True
842,-2493.0,1038,164,1,True
843,-3329.0,1415,215,1,True
844,-1367.0,533,95,1,True
845,-1510.0,631,100,1,True
846,-2771.0,1334,162,1,True
847,-1385.0,605,89,1,True
848,-1193.0,476,82,1,True
849,-1309.0,547,87,1,True
850,-1827.0,804,116,1,True
851,-966.0,375,68,1,True
852,-1528.0,622,103,1,True
853,-1761.0,693,121,1,True
854,-2631.0,1122,170,1,True
855,-2926.0,1192,195,1,True
856,-404.0,155,30,1,True
857,-1229.0,458,88,1,True
