Episode,TotalReward,Steps,drop_passsenger_pick_ghost,delivered_passenger, Status
763,-677.0,266,48,1,True
764,-1392.0,549,96,1,True
765,-1573.0,649,105,1,True
766,-2248.0,964,145,1,True
767,-1200.0,447,86,1,True
768,-2670.0,1143,172,1,True
769,-2781.0,1236,174,1,True
770,-1746.0,732,115,1,True
771,-950.0,350,69,1,True
772,-1142.0,488,75,1,True
773,-351.0,156,24,1,True
774,-913.0,358,64,1,True
775,-1357.0,532,94,1,True
776,-746.0,281,54,1,True
777,-1827.0,777,119,1,True
778,-1834.0,766,121,1,True
779,-1272.0,618,75,1,True
780,-1560.0,582,111,1,True
781,-2658.0,1131,172,1,True
782,-1534.0,628,103,1,True
783,-1706.0,773,106,1,True
784,-2355.0,999,153,1,True
785,-1400.0,629,88,1,True
786,-2582.0,1091,168,1,True
787,-2881.0,1201,189,1,True
788,-1486.0,607,100,1,True
789,-2563.0,1045,171,1,True
790,-1259.0,533,83,1,True
791,-2604.0,1176,161,1,True
792,-2386.0,985,158,1,True
793,-1248.0,504,85,1,True
794,-1205.0,497,81,1,True
795,-1330.0,514,93,1,True
796,-1551.0,654,102,1,True
797,-687.0,258,50,1,True
798,-1112.0,467,74,1,True
799,-2273.0,998,144,1,True
800,-1109.0,482,72,1,True
801,-2418.0,990,161,1,True
802,-1612.0,661,108,1,True
803,-1350.0,552,91,1,True
804,-829.0,310,60,1,True
805,-2364.0,963,158,1,True
806,-948.0,375,66,1,True
807,-666.0,246,49,1,True
808,-1513.0,652,98,1,True
809,-1480.0,592,101,1,True
810,-1518.0,603,104,1,True
811,-1409.0,566,96,1,True
812,-1556.0,668,101,1,True
813,-1158.0,450,81,1,True
814,-1227.0,519,81,1,True
815,-1435.0,556,100,1,True
816,-1672.0,703,110,1,True
817,-1854.0,777,122,1,True
818,-900.0,390,59,1,True
819,-1322.0,569,86,1,True
820,-1286.0,497,90,1,True
821,-2235.0,852,156,1,True
822,-2335.0,961,155,1,True
823,-2491.0,1081,159,1,True
824,-1039.0,394,74,1,True
825,-1245.0,528,82,1,True
826,-2023.0,856,132,1,True
827,-1140.0,432,81,1,True
828,-963.0,390,66,1,True
829,-1393.0,541,97,1,True
830,-1177.0,505,77,1,True
831,-1182.0,528,75,1,True
832,-2378.0,923,164,1,True
833,-1245.0,528,82,1,True
834,-1254.0,447,92,1,True
835,-2353.0,952,158,1,True
836,-649.0,274,44,1,True
837,-895.0,349,63,1,True
838,-1036.0,418,71,1,True
839,-2758.0,1132,183,1,True
840,-967.0,394,66,1,True
841,-1384.0,613,88,1,True
842,-2311.0,946,154,1,True
843,-1085.0,431,75,1,True
844,-2385.0,957,161,1,True
845,-2526.0,1107,160,1,True
846,-2574.0,1128,163,1,True
847,-2490.0,1035,164,1,True
848,-1281.0,537,85,1,True
849,-808.0,298,59,1,True
850,-2409.0,1035,155,1,True
851,-1199.0,545,75,1,True
852,-1478.0,563,104,1,True
853,-1437.0,603,95,1,True
854,-1871.0,767,125,1,True
855,-2093.0,836,142,1,True
856,-291.0,123,21,1,True
857,-3145.0,1276,210,1,True
858,-1285.0,523,87,1,True
859,-1787.0,791,113,1,True
860,-1052.0,443,70,1,True
861,-1518.0,603,104,1,True
